status,reported,description,type,address,occurred
CLOSED,2019-03-11 04:52:00+00:00,"Officer dispatched to a report of an idling motor vehicle. Officer arrived and reported that the engine was no longer     
running and that the vehicle was standing by to make a delivery.",MOTOR VEHICLE COMPLAINT,ELIOT HOUSE A 101 DUNSTER ST CAMBRIDGE,"3/11/19
4:52 AM"
CLOSED,2019-03-11 08:21:00+00:00,"Officer dispatched to take a report of an attempted theft.  During the course of the initial investigation it was         
determined that no attempted theft occurred.",SUSPICIOUS ACTIVITY,HOLDEN CHAPEL 15 HARVARD YARD CAMBRIDGE,"3/10/19 - 4:30 PM
3/11/19 - 7:45 AM"
OPEN,2019-03-11 10:14:00+00:00,Officer dispatched to take a report of threats.,THREAT(S),HAUSER HALL 1575 MASSACHUSETTS AVE CAMBRIDGE,"3/10/19
4:01 PM - 7:28 PM"
CLOSED,2019-03-11 12:39:00+00:00,Officer took a walk-in report of a past suspicious telephone call.,SUSPICIOUS ACTIVITY,HARVARD UNIVERSITY POLICE DEPA 1033-6 MASSACHUSETTS AVE CAMBRIDGE,"3/6/19 - 3:04 PM
3/11/19 - 12:30 PM"
OPEN,2019-03-11 16:24:00+00:00,"Officer dispatched to take a report of stolen Beats Wireless Earbuds valued at $200.00, Rayban sunglasses valued at       
$200.00, a Kate Spade wallet valued at $50.00, $21.00 in U.S. currency, a Charlie Card, an HUID, and debit/credit cards.",THEFT REPORT,MALKIN ATHLETIC CENTER 39 HOLYOKE ST CAMBRIDGE,"3/11/19
10:20 AM - 4:05 PM"
CLOSED,2019-03-11 16:38:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,PEABODY TERRACE GARAGE 125 PUTNAM AVE CAMBRIDGE,"3/11/19
8:30 AM - 4:30 PM"
CLOSED,2019-03-11 18:30:00+00:00,"Officer dispatched to a report of a motor vehicle that had struck the building. Cambridge Police arrived on scene shortly 
thereafter and took over the incident.",ASSIST CAMBRIDGE POLICE,CRIMSON NEWSPAPER 14 PLYMPTON ST CAMBRIDGE,"3/11/19
6:25 PM - 8:00 PM"
CLOSED,2019-03-11 18:44:00+00:00,"Officer took a report of a threat.                                                                                        
                                                                                                                          
Updated 3/22/19: Upon further investigation, this incident has been reclassified from Threats to Assist Transit Police.",ASSIST TRANSIT POLICE,HARVARD SQUARE MBTA STATION 1400 MASSACHUSETTS AVE CAMBRIDGE,"3/11/19
6:10 PM - 6:22 PM"
CLOSED,2019-03-11 22:15:00+00:00,"Officer dispatched to a report of loud construction noise. Officer arrived and reported no noise out of the ordinary in   
the area.",NOISE COMPLAINT,SCIENCE COMPLEX 140 WESTERN AVE CAMBRIDGE,"3/11/19
10:15 PM"
CLOSED,2019-03-12 08:01:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the alleyway near the building. Officers arrived, located
individual and sent them on their way.",UNWANTED GUEST,8 STORY ST 8 STORY ST CAMBRIDGE,"3/12/19
8:01 AM"
CLOSED,2019-03-12 10:20:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the area. Officers arrived, located individual and sent  
them on their way.",UNWANTED GUEST,SMITH CAMPUS CENTER - WELCOME 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/12/19
10:20 AM"
CLOSED,2019-03-12 16:33:00+00:00,Officers dispatched to a group of unwanted guests in the area. Officers arrived and reported group gone on arrival.,UNWANTED GUEST,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/12/19
4:33 PM"
CLOSED,2019-03-12 23:26:00+00:00,"Officers dispatched to a report of a noise complaint coming from the 4th floor. Officers arrived and advised occupants to 
end party.",NOISE COMPLAINT                            ,83 BRATTLE ST CAMBRIDGE,"3/12/19
11:26 PM"
ARREST,2019-03-13 01:00:00+00:00,"Officer while on patrol discovered that the main entrance to the rear of the building was left unsecured. An additional   
officer was requested to the scene and a search of the building was conducted. Upon traveling to the second floor of the  
building, officers discovered an individual sleeping on the floor. When the individual was woken up, a field interview was
conducted and the individual was run for wants/warrants with negative results. The individual was then informed that they 
were being placed under arrest for Breaking and Entering in the Nighttime with Intent to Commit a Felony and issued a     
verbal trespass warning for all Harvard University property.                                                              
                                                                                                                          
Update: Following the arrest and upon consultation with the Assistant District Attorney, the charge was revised to        
Trespassing.                                                                                                              
                                                                                                                          
Name: Gedeus, Tommy                                                                                                       
Age: 28                                                                                                                   
Address: 39 Boylston St., Boston, MA 02116                                                                                
Charge(s): Trespassing",THEFT REPORT,114 MT AUBURN ST 114 MT AUBURN ST CAMBRIDGE,"3/13/19
1:03 AM - 1:58 AM"
CLOSED,2019-03-13 11:32:00+00:00,Officers dispatched to monitor a demonstration that went without incident.,DEMONSTRATION,SCIENCE CENTER PLAZA 1 OXFORD ST CAMBRIDGE,"3/13/19
12:00 PM - 1:30 PM"
OPEN,2019-03-13 11:33:00+00:00,"Office dispatched to take a report of an attempted theft of a gray Cannondale bicycle valued at $1,000.00.",THEFT REPORT,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/5/19 - 6:00 PM
3/6/19 - 10:00 AM"
CLOSED,2019-03-13 13:22:00+00:00,"Officers dispatched to a report of an unwanted guest in the building. Officers arrived, located individual and sent them  
on their way.",UNWANTED GUEST,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/13/19
1:22 PM"
CLOSED,2019-03-14 00:27:00+00:00,"Officers dispatched to a report of multiple individuals attempting to climb a fence. Officers arrived and reported all    
individuals gone upon arrival.",SUSPICIOUS ACTIVITY,ELIOT HOUSE A 101 DUNSTER ST CAMBRIDGE,"3/14/19
0:27 AM"
CLOSED,2019-03-14 01:22:00+00:00,"Officer dispatched to a report of a noise complaint. Officer arrived and reported that the group causing the noise had    
since left the area.",NOISE COMPLAINT,STRAUS HALL B 10 HARVARD YARD CAMBRIDGE,"3/14/19
1:22 AM"
CLOSED,2019-03-14 02:15:00+00:00,"Officers dispatched to a report of vandalism. Officers arrived and reported that a small group of students were listening 
to music near the statue. Officers reported that the students were sent on their way without incident.",SUSPICIOUS ACTIVITY,JOHN HARVARD STATUE 1 HARVARD YARD CAMBRIDGE,"3/14/19
2:15 AM"
CLOSED,2019-03-14 07:54:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the alleyway near the building. Officers arrived, located
individual, and sent them on their way.",UNWANTED GUEST,8 STORY ST 8 STORY ST CAMBRIDGE,"3/14/19
7:54 AM"
CLOSED,2019-03-14 09:28:00+00:00,Officer dispatched to take a report of a stolen black coat valued at $100.00 and stolen house/car keys valued at $200.00.,THEFT REPORT,HEMENWAY GYMNASIUM H 1515 MASSACHUSETTS AVE CAMBRIDGE,"3/14/19
7:45 AM - 9:00 AM"
CLOSED,2019-03-14 13:19:00+00:00,Officer dispatched to take a report of a suspicious telephone call.,SUSPICIOUS ACTIVITY,AMERICAN REPERTORY THEATER - L 64 BRATTLE ST CAMBRIDGE,"3/14/19
1:10 PM"
CLOSED,2019-03-14 15:19:00+00:00,"Officer dispatched to a report of a past disturbance. Officer arrived and reported that the disturbance was due to a      
misunderstanding and that the involved individual had since left the area.",DISTURBANCE,SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,"3/14/19
3:19 PM"
CLOSED,2019-03-14 17:54:00+00:00,"Officers dispatched to a report of an individual yelling in the area. Officers arrive, located the individual, and sent   
them on their way.",DISTURBANCE,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/14/19
5:54 PM"
CLOSED,2019-03-15 00:03:00+00:00,"Officer dispatched to a report of a loud party coming from the second floor. Officer arrived and advised occupants of room
210 to keep the noise level down.",LOUD PARTY,SOLDIERS FIELD PARK 06 111 WESTERN AVE ALLSTON,"3/15/19
0:03 AM"
CLOSED,2019-03-15 03:09:00+00:00,"Officers dispatched to a report of a noise complaint. Officers arrived and advised the involved parties to keep the level 
of noise down.",NOISE COMPLAINT,LOWELL HOUSE - 22-24 PRESCOTT 22 PRESCOTT ST CAMBRIDGE,"3/15/19
3:09 AM"
CLOSED,2019-03-15 04:28:00+00:00,"Officer dispatched to a report of a 911 hang-up in the building. Shortly thereafter, Boston Police reported that the      
caller had been contacted and stated that they misdialed by accident and were currently in India.",ASSIST BOSTON POLICE,SOLDIERS FIELD PARK 06 111 WESTERN AVE ALLSTON,"3/15/19
4:28 AM"
CLOSED,2019-03-15 05:07:00+00:00,Officer dispatched to take a report of tagging/graffiti done to a bathroom stall.,VANDALISM,CARPENTER CENTER 24 QUINCY ST CAMBRIDGE,"3/15/19
5:07 AM - 5:40 AM"
CLOSED,2019-03-15 07:51:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the alleyway near the building. Officers arrived, located
the individual, and reported that they were packing up their belongings and on their way.",UNWANTED GUEST,8 STORY ST 8 STORY ST CAMBRIDGE,"3/15/19
7:51 AM"
