Date,Day of Week,Time Reported,Type,Status,Location,Area,Description,Lat,Long
10-06-2019,0,1:07 AM,UNWANTED GUEST,CLOSED,19 WARE ST UNWANTED GUEST,CAMBRIDGE,Officers dispatched to a report of several unwanted guests behind the building. Officers arrived and reported that the individuals were gone on arrival.,42.3733735,-71.1129407
10-06-2019,0,2:04 AM,THEFT REPORT,OPEN,26 EVERETT ST,CAMBRIDGE,"Officer dispatched to take a report of a stolen silver and red Raleigh Merit bicycle valued at $800.00 affixed with an LED light valued at $20.00. The reporting individual informed the officer that their bicycle was secured to a bike rack with a cable lock valued at $25.00, which was also stolen.",42.3790176,-71.1178579
10-06-2019,0,3:37 AM,SUSPICIOUS ACTIVITY,OPEN,60 LINNAEAN ST,CAMBRIDGE,"Officers dispatched to a report of an individual engaged in suspicious activity. Officers arrived, searched for the individual, and reported that they were gone on arrival.",42.3812398,-71.1246959
10-06-2019,0,10:17 PM,THEFT REPORT,OPEN,29 FRANCIS AVE,CAMBRIDGE,Officer dispatched to take a report of a stolen gold Samsung Galaxy S8 telephone valued at $730.00 and an HUID card.,42.379076,-71.11309
10-05-2019,6,2:35 AM,NOISE COMPLAINT,CLOSED,20 PRESCOTT ST,CAMBRIDGE,Officer dispatched to a report of a noise complaint. Officer arrived and reported that the area was quiet.,42.3736143,-71.113495
10-05-2019,6,12:52 PM,MOTOR VEHICLE ACCIDENT,CLOSED,79 N HARVARD ST,ALLSTON,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,42.3667301,-71.127491
10-05-2019,6,4:56 PM,THEFT REPORT,OPEN,117 WESTERN AVE,ALLSTON,"Officer dispatched to take a report of a stolen brown Raleigh bicycle valued at $120.00. The reporting individual informed the officer that their bicycle was secured to a bike rack with a U-lock valued at $120.00, which was also stolen.",42.3651974,-71.1221999
10-05-2019,6,5:34 PM,SUSPICIOUS ACTIVITY,CLOSED,32 QUINCY ST,CAMBRIDGE,Officer dispatched to a report of an individual engaged in suspicious activity. Officer arrived and reported that the individual was gone on arrival.,42.3742185,-71.1141979
10-04-2019,5,7:43 AM,UNWANTED GUEST,CLOSED,8 STORY ST UNWANTED GUEST,CAMBRIDGE,"Officers dispatched to a report of an unwanted guest in the alleyway behind the building. Officers arrived, located the individual, and sent them on their way.",42.3739234,-71.1220834
10-04-2019,5,1:16 PM,SUSPICIOUS ACTIVITY,CLOSED,111 WESTERN AVE,ALLSTON,Officers dispatched to a report of several individuals possibly smoking marijuana. Officers arrived and reported that the individuals were gone on arrival.,42.3644675,-71.1199197
10-04-2019,5,1:36 PM,UNWANTED GUEST,OPEN,33 KIRKLAND ST,CAMBRIDGE,Officer dispatched to take a report of a previous unwanted guest inside of the building.,42.3771666,-71.1134286
10-04-2019,5,4:32 PM,THEFT REPORT,OPEN,125 WESTERN AVE,ALLSTON,"Officer dispatched to take a report of a stolen Apple iPad Mini valued at $1,000.00.",42.3641094,-71.1241841
10-04-2019,5,7:48 PM,ASSIST CAMBRIDGE POLICE,CLOSED,19 MASSACHUSETTS AVE ASSIST CAMBRIDGE POLICE,CAMBRIDGE,"Officer dispatched to a report of an attempted bicycle theft. Officer arrived, searched the area for the individual, and reported that they were gone on arrival.",42.3672909,-71.0861288
10-04-2019,5,10:27 PM,NOISE COMPLAINT,CLOSED,93 BANKS ST,CAMBRIDGE,Officers dispatched to a report of a noise complaint. Officers arrived and reported that the occupants had been advised to keep the noise level down.,42.368491,-71.1148463
10-04-2019,5,11:38 PM,LOUD PARTY,CLOSED,93 BANKS ST,CAMBRIDGE,Officers dispatched to a report of a noise complaint. Officers arrived and reported that a loud party had been shut down earlier and that the area was quiet.,42.368491,-71.1148463
10-03-2019,4,12:58 AM,ASSIST CAMBRIDGE POLICE,CLOSED,95 DUNSTER ST,CAMBRIDGE,Officer dispatched to take a report of past suspicious activity.,42.3706474,-71.1207889
10-03-2019,4,7:43 AM,UNWANTED GUEST,CLOSED,8 STORY ST,CAMBRIDGE,"Officer dispatched to a report of an unwanted guest sleeping in the area. Officer arrived, located the individual, and sent them on their way.",42.3739234,-71.1220834
10-03-2019,4,11:21 AM,UNWANTED GUEST,CLOSED,19 WARE ST,CAMBRIDGE,Officers dispatched to a report of a group of unwanted guests loitering behind the building. Officers arrived and reported that the individuals were gone on arrival.,42.3733735,-71.1129407
10-03-2019,4,11:25 AM,THEFT REPORT,OPEN,900 MEMORIAL DR,CAMBRIDGE,Officer took a walk-in report of two stolen packages containing a Brita water filter valued at $30.00 and a a package of Huggies diapers valued at $35.00. The Brita water filter package was discovered opened in another building.,42.3662518,-71.1152777
10-03-2019,4,1:52 PM,FIELD INTERVIEW,CLOSED,32 QUINCY ST,CAMBRIDGE,"Officers dispatched on the report of an unwanted guest acting erratically in the building. Officers arrived, and observed the individual outside of the building and conducted a field interview. During the field interview, the individual was run for wants/warrants with negative results. Officers determined that the individual needed to be assessed at a medical facility. The individual was transported by ambulance to a nearby facility.",42.3742185,-71.1141979
10-03-2019,4,2:57 PM,ASSAULT REPORT,OPEN,1465 MASSACHUSETTS AVE,CAMBRIDGE,Officer on patrol observed a group of individuals fighting. The officer intervened in the fight and the group fled the area.,42.3746154,-71.1186951
10-03-2019,4,3:03 PM,ANNOYING CALLS/TEXTS/EMAILS,OPEN,1525 MASSACHUSETTS AVE,CAMBRIDGE,Officer dispatched to take a report of annoying emails.,42.3757321,-71.1189638
10-03-2019,4,6:07 PM,SKATEBOARD/BIKE COMPLAINT,CLOSED,784 MEMORIAL DR,CAMBRIDGE,Officers dispatched to a report of several individuals skateboarding in the area. Officers arrived and reported that the individuals were leaving upon their arrival.,42.3595658,-71.1152824
10-03-2019,4,11:42 PM,UNWANTED GUEST,CLOSED,900 MEMORIAL DR,CAMBRIDGE,"Officer dispatched to a report of an unwanted guest sleeping in the area. Officer arrived, located the individual, and sent them on their way.",42.3662518,-71.1152777
10-02-2019,3,6:00 AM,FIRE,CLOSED,117 WESTERN AVE,ALLSTON,Officer dispatched to a report of a vehicle fire. Officers arrived and reported that the fire was in the back of a pick-up truck and that the fire was extinguished by Boston Fire.,42.3651974,-71.1221999
10-02-2019,3,6:45 AM,ASSIST BOSTON POLICE,CLOSED,219 WESTERN AVE,ALLSTON,Officers dispatched on the report of an altercation between two drivers. Officers arrived and determined that one of the drivers had left the area and that the dispute was over live parking in the lot.,42.3633391,-71.1308433
10-02-2019,3,8:51 AM,ASSIST TRANSIT POLICE,CLOSED,15 ELIOT ST,CAMBRIDGE,"Officer dispatched on the report of an individual lying down at the bus stop. Officer arrived, located the individual who was just taking a nap and all was well.",42.3718715,-71.1220817
10-02-2019,3,4:07 PM,THEFT REPORT,OPEN,117 WESTERN AVE,ALLSTON,Officer dispatched to take a report of a stolen unattended and unsecured Boston Bruins jacket valued at $100.00.,42.3651974,-71.1221999
